。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 

一 : 一 0 | 在 1 | 国 2 | 中 3 | 、 4 | 人 5 | 。 6 | 了 7 | 的 8 | 是 9 | 

了 : 人 0 | 了 1 | 中 2 | 是 3 | 在 4 | 和 5 | 一 6 | 有 7 | 国 8 | 大 9 | 

是 : 和 0 | 有 1 | 是 2 | 大 3 | 了 4 | １ 5 | 人 6 | 不 7 | 中 8 | 年 9 | 

大 : １ 0 | 不 1 | 大 2 | 年 3 | 有 4 | ０ 5 | 和 6 | 会 7 | 是 8 | 为 9 | 

不 : ０ 0 | 会 1 | 年 2 | 为 3 | 不 4 | 业 5 | １ 6 | 发 7 | 大 8 | “ 9 | 

发 : 业 0 | 发 1 | 为 2 | “ 3 | 会 4 | ” 5 | ０ 6 | 上 7 | 年 8 | 要 9 | 

“ : ” 0 | 上 1 | “ 2 | 要 3 | 发 4 | 地 5 | 业 6 | 作 7 | 为 8 | 这 9 | 

民 : 地 0 | 作 1 | 要 2 | 这 3 | 上 4 | 出 5 | ” 6 | 工 7 | “ 8 | 行 9 | 

要 : 出 0 | 工 1 | 这 2 | 行 3 | 作 4 | 个 5 | 地 6 | 民 7 | 要 8 | 日 9 | 

出 : 个 0 | 民 1 | 行 2 | 日 3 | 工 4 | 家 5 | 出 6 | ９ 7 | 这 8 | 到 9 | 

以 : 家 0 | ９ 1 | 日 2 | 到 3 | 民 4 | 经 5 | 个 6 | 部 7 | 行 8 | 来 9 | 

家 : 经 0 | 部 1 | 到 2 | 来 3 | ９ 4 | 对 5 | 家 6 | 以 7 | 日 8 | ２ 9 | 

对 : 对 0 | 以 1 | 来 2 | ２ 3 | 部 4 | 生 5 | 经 6 | 成 7 | 到 8 | 我 9 | 

成 : 生 0 | 成 1 | ２ 2 | 我 3 | 以 4 | 全 5 | 对 6 | 们 7 | 来 8 | 时 9 | 

部 : 全 0 | 们 1 | 我 2 | 时 3 | 成 4 | 政 5 | 生 6 | 新 7 | ２ 8 | 市 9 | 

市 : 政 0 | 新 1 | 时 2 | 市 3 | 们 4 | 学 5 | 全 6 | 他 7 | 我 8 | 进 9 | 

时 : 学 0 | 他 1 | 市 2 | 进 3 | 新 4 | 多 5 | 政 6 | 主 7 | 时 8 | 长 9 | 

们 : 多 0 | 主 1 | 进 2 | 长 3 | 他 4 | 理 5 | 学 6 | 实 7 | 市 8 | 展 9 | 

开 : 理 0 | 实 1 | 长 2 | 展 3 | 主 4 | 方 5 | 多 6 | 月 7 | 进 8 | 同 9 | 

他 : 方 0 | 月 1 | 展 2 | 同 3 | 实 4 | 本 5 | 理 6 | 重 7 | 长 8 | 于 9 | 

方 : 本 0 | 重 1 | 同 2 | 于 3 | 月 4 | 建 5 | 方 6 | 下 7 | 展 8 | 开 9 | 

于 : 建 0 | 下 1 | 于 2 | 开 3 | 重 4 | 者 5 | 本 6 | 关 7 | 同 8 | 产 9 | 

