。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 是 10 | 和 11 | 有 12 | 大 13 | １ 14 | 不 15 | 年 16 | ０ 17 | 会 18 | 为 19 | 

一 : 一 0 | 在 1 | 国 2 | 中 3 | 、 4 | 人 5 | 。 6 | 了 7 | 的 8 | 是 9 | ， 10 | 和 11 | 有 12 | 大 13 | １ 14 | 不 15 | 年 16 | ０ 17 | 会 18 | 为 19 | 

了 : 人 0 | 了 1 | 中 2 | 是 3 | 在 4 | 和 5 | 一 6 | 有 7 | 国 8 | 大 9 | 、 10 | １ 11 | 。 12 | 不 13 | 的 14 | 年 15 | ， 16 | ０ 17 | 会 18 | 为 19 | 

是 : 和 0 | 有 1 | 是 2 | 大 3 | 了 4 | １ 5 | 人 6 | 不 7 | 中 8 | 年 9 | 在 10 | ０ 11 | 一 12 | 会 13 | 国 14 | 为 15 | 、 16 | 业 17 | 。 18 | 发 19 | 

大 : １ 0 | 不 1 | 大 2 | 年 3 | 有 4 | ０ 5 | 和 6 | 会 7 | 是 8 | 为 9 | 了 10 | 业 11 | 人 12 | 发 13 | 中 14 | “ 15 | 在 16 | ” 17 | 一 18 | 上 19 | 

不 : ０ 0 | 会 1 | 年 2 | 为 3 | 不 4 | 业 5 | １ 6 | 发 7 | 大 8 | “ 9 | 有 10 | ” 11 | 和 12 | 上 13 | 是 14 | 要 15 | 了 16 | 地 17 | 人 18 | 作 19 | 

发 : 业 0 | 发 1 | 为 2 | “ 3 | 会 4 | ” 5 | ０ 6 | 上 7 | 年 8 | 要 9 | 不 10 | 地 11 | １ 12 | 作 13 | 大 14 | 这 15 | 有 16 | 出 17 | 和 18 | 工 19 | 

“ : ” 0 | 上 1 | “ 2 | 要 3 | 发 4 | 地 5 | 业 6 | 作 7 | 为 8 | 这 9 | 会 10 | 出 11 | ０ 12 | 工 13 | 年 14 | 行 15 | 不 16 | 个 17 | １ 18 | 民 19 | 

民 : 地 0 | 作 1 | 要 2 | 这 3 | 上 4 | 出 5 | ” 6 | 工 7 | “ 8 | 行 9 | 发 10 | 个 11 | 业 12 | 民 13 | 为 14 | 日 15 | 会 16 | 家 17 | ０ 18 | ９ 19 | 

要 : 出 0 | 工 1 | 这 2 | 行 3 | 作 4 | 个 5 | 地 6 | 民 7 | 要 8 | 日 9 | 上 10 | 家 11 | ” 12 | ９ 13 | “ 14 | 到 15 | 发 16 | 经 17 | 业 18 | 部 19 | 

出 : 个 0 | 民 1 | 行 2 | 日 3 | 工 4 | 家 5 | 出 6 | ９ 7 | 这 8 | 到 9 | 作 10 | 经 11 | 地 12 | 部 13 | 要 14 | 来 15 | 上 16 | 对 17 | ” 18 | 以 19 | 

以 : 家 0 | ９ 1 | 日 2 | 到 3 | 民 4 | 经 5 | 个 6 | 部 7 | 行 8 | 来 9 | 工 10 | 对 11 | 出 12 | 以 13 | 这 14 | ２ 15 | 作 16 | 生 17 | 地 18 | 成 19 | 

家 : 经 0 | 部 1 | 到 2 | 来 3 | ９ 4 | 对 5 | 家 6 | 以 7 | 日 8 | ２ 9 | 民 10 | 生 11 | 个 12 | 成 13 | 行 14 | 我 15 | 工 16 | 全 17 | 出 18 | 们 19 | 

对 : 对 0 | 以 1 | 来 2 | ２ 3 | 部 4 | 生 5 | 经 6 | 成 7 | 到 8 | 我 9 | ９ 10 | 全 11 | 家 12 | 们 13 | 日 14 | 时 15 | 民 16 | 政 17 | 个 18 | 新 19 | 

成 : 生 0 | 成 1 | ２ 2 | 我 3 | 以 4 | 全 5 | 对 6 | 们 7 | 来 8 | 时 9 | 部 10 | 政 11 | 经 12 | 新 13 | 到 14 | 市 15 | ９ 16 | 学 17 | 家 18 | 他 19 | 

部 : 全 0 | 们 1 | 我 2 | 时 3 | 成 4 | 政 5 | 生 6 | 新 7 | ２ 8 | 市 9 | 以 10 | 学 11 | 对 12 | 他 13 | 来 14 | 进 15 | 部 16 | 多 17 | 经 18 | 主 19 | 

市 : 政 0 | 新 1 | 时 2 | 市 3 | 们 4 | 学 5 | 全 6 | 他 7 | 我 8 | 进 9 | 成 10 | 多 11 | 生 12 | 主 13 | ２ 14 | 长 15 | 以 16 | 理 17 | 对 18 | 实 19 | 

时 : 学 0 | 他 1 | 市 2 | 进 3 | 新 4 | 多 5 | 政 6 | 主 7 | 时 8 | 长 9 | 们 10 | 理 11 | 全 12 | 实 13 | 我 14 | 展 15 | 成 16 | 方 17 | 生 18 | 月 19 | 

们 : 多 0 | 主 1 | 进 2 | 长 3 | 他 4 | 理 5 | 学 6 | 实 7 | 市 8 | 展 9 | 新 10 | 方 11 | 政 12 | 月 13 | 时 14 | 同 15 | 们 16 | 本 17 | 全 18 | 重 19 | 

开 : 理 0 | 实 1 | 长 2 | 展 3 | 主 4 | 方 5 | 多 6 | 月 7 | 进 8 | 同 9 | 他 10 | 本 11 | 学 12 | 重 13 | 市 14 | 于 15 | 新 16 | 建 17 | 政 18 | 下 19 | 

他 : 方 0 | 月 1 | 展 2 | 同 3 | 实 4 | 本 5 | 理 6 | 重 7 | 长 8 | 于 9 | 主 10 | 建 11 | 多 12 | 下 13 | 进 14 | 开 15 | 他 16 | 者 17 | 学 18 | 关 19 | 

方 : 本 0 | 重 1 | 同 2 | 于 3 | 月 4 | 建 5 | 方 6 | 下 7 | 展 8 | 开 9 | 实 10 | 者 11 | 理 12 | 关 13 | 长 14 | 产 15 | 主 16 | ５ 17 | 多 18 | ３ 19 | 

于 : 建 0 | 下 1 | 于 2 | 开 3 | 重 4 | 者 5 | 本 6 | 关 7 | 同 8 | 产 9 | 月 10 | ５ 11 | 方 12 | ３ 13 | 展 14 | 力 15 | 实 16 | 法 17 | 理 18 | 高 19 | 

学 : 者 0 | 关 1 | 开 2 | 产 3 | 下 4 | ５ 5 | 建 6 | ３ 7 | 于 8 | 力 9 | 重 10 | 法 11 | 本 12 | 高 13 | 同 14 | 公 15 | 月 16 | 现 17 | 方 18 | 动 19 | 

现 : ５ 0 | ３ 1 | 产 2 | 力 3 | 关 4 | 法 5 | 者 6 | 高 7 | 开 8 | 公 9 | 下 10 | 现 11 | 建 12 | 动 13 | 于 14 | 加 15 | 重 16 | 就 17 | 本 18 | 分 19 | 

高 : 法 0 | 高 1 | 力 2 | 公 3 | ３ 4 | 现 5 | ５ 6 | 动 7 | 产 8 | 加 9 | 关 10 | 就 11 | 者 12 | 分 13 | 开 14 | 社 15 | 下 16 | 报 17 | 建 18 | 前 19 | 

社 : 现 0 | 动 1 | 公 2 | 加 3 | 高 4 | 就 5 | 法 6 | 分 7 | 力 8 | 社 9 | ３ 10 | 报 11 | ５ 12 | 前 13 | 产 14 | 后 15 | 关 16 | 员 17 | 者 18 | 自 19 | 

者 : 就 0 | 分 1 | 加 2 | 社 3 | 动 4 | 报 5 | 现 6 | 前 7 | 公 8 | 后 9 | 高 10 | 员 11 | 法 12 | 自 13 | 力 14 | 用 15 | ３ 16 | 定 17 | ５ 18 | 合 19 | 

３ : 报 0 | 前 1 | 社 2 | 后 3 | 分 4 | 员 5 | 就 6 | 自 7 | 加 8 | 用 9 | 动 10 | 定 11 | 现 12 | 合 13 | 公 14 | 说 15 | 高 16 | 区 17 | 法 18 | 能 19 | 

前 : 员 0 | 自 1 | 后 2 | 用 3 | 前 4 | 定 5 | 报 6 | 合 7 | 社 8 | 说 9 | 分 10 | 区 11 | 就 12 | 能 13 | 加 14 | ８ 15 | 动 16 | 与 17 | 现 18 | 过 19 | 

就 : 定 0 | 合 1 | 用 2 | 说 3 | 自 4 | 区 5 | 员 6 | 能 7 | 后 8 | ８ 9 | 前 10 | 与 11 | 报 12 | 过 13 | 社 14 | 济 15 | 分 16 | 面 17 | 就 18 | 场 19 | 

农 : 区 0 | 能 1 | 说 2 | ８ 3 | 合 4 | 与 5 | 定 6 | 过 7 | 用 8 | 济 9 | 自 10 | 面 11 | 员 12 | 场 13 | 后 14 | ４ 15 | 前 16 | 化 17 | 报 18 | 事 19 | 

过 : 与 0 | 过 1 | ８ 2 | 济 3 | 能 4 | 面 5 | 区 6 | 场 7 | 说 8 | ４ 9 | 合 10 | 化 11 | 定 12 | 事 13 | 用 14 | 制 15 | 自 16 | 机 17 | 员 18 | 等 19 | 

面 : 面 0 | 场 1 | 济 2 | ４ 3 | 过 4 | 化 5 | 与 6 | 事 7 | ８ 8 | 制 9 | 能 10 | 机 11 | 区 12 | 等 13 | 说 14 | 得 15 | 合 16 | 电 17 | 定 18 | 记 19 | 

得 : 化 0 | 事 1 | ４ 2 | 制 3 | 场 4 | 机 5 | 面 6 | 等 7 | 济 8 | 得 9 | 过 10 | 电 11 | 与 12 | 记 13 | ８ 14 | 天 15 | 能 16 | ： 17 | 区 18 | 也 19 | 

等 : 机 0 | 等 1 | 制 2 | 得 3 | 事 4 | 电 5 | 化 6 | 记 7 | ４ 8 | 天 9 | 场 10 | ： 11 | 面 12 | 也 13 | 济 14 | ６ 15 | 过 16 | 总 17 | 与 18 | 资 19 | 

事 : 电 0 | 记 1 | 得 2 | 天 3 | 等 4 | ： 5 | 机 6 | 也 7 | 制 8 | ６ 9 | 事 10 | 总 11 | 化 12 | 资 13 | ４ 14 | ７ 15 | 场 16 | 务 17 | 面 18 | 利 19 | 

务 : ： 0 | 也 1 | 天 2 | ６ 3 | 记 4 | 总 5 | 电 6 | 资 7 | 得 8 | ７ 9 | 等 10 | 务 11 | 机 12 | 利 13 | 制 14 | 水 15 | 事 16 | 好 17 | 化 18 | 之 19 | 

利 : 总 0 | 资 1 | ６ 2 | ７ 3 | 也 4 | 务 5 | ： 6 | 利 7 | 天 8 | 水 9 | 记 10 | 好 11 | 电 12 | 之 13 | 得 14 | 体 15 | 等 16 | 而 17 | 机 18 | 文 19 | 

电 : 务 0 | 利 1 | ７ 2 | 水 3 | 资 4 | 好 5 | 总 6 | 之 7 | ６ 8 | 体 9 | 也 10 | 而 11 | ： 12 | 文 13 | 天 14 | 各 15 | 记 16 | 北 17 | 电 18 | 小 19 | 

之 : 好 0 | 之 1 | 水 2 | 体 3 | 利 4 | 而 5 | 务 6 | 文 7 | ７ 8 | 各 9 | 资 10 | 北 11 | 总 12 | 小 13 | ６ 14 | 外 15 | 也 16 | 党 17 | ： 18 | 委 19 | 

委 : 而 0 | 文 1 | 体 2 | 各 3 | 之 4 | 北 5 | 好 6 | 小 7 | 水 8 | 外 9 | 利 10 | 党 11 | 务 12 | 委 13 | ７ 14 | 表 15 | 资 16 | 平 17 | 总 18 | 设 19 | 

各 : 北 0 | 小 1 | 各 2 | 外 3 | 文 4 | 党 5 | 而 6 | 委 7 | 体 8 | 表 9 | 之 10 | 平 11 | 好 12 | 设 13 | 水 14 | 将 15 | 利 16 | 心 17 | 务 18 | 代 19 | 

今 : 党 0 | 委 1 | 外 2 | 表 3 | 小 4 | 平 5 | 北 6 | 设 7 | 各 8 | 将 9 | 文 10 | 心 11 | 而 12 | 代 13 | 体 14 | 问 15 | 之 16 | 万 17 | 好 18 | 金 19 | 

６ : 平 0 | 设 1 | 表 2 | 将 3 | 委 4 | 心 5 | 党 6 | 代 7 | 外 8 | 问 9 | 小 10 | 万 11 | 北 12 | 金 13 | 各 14 | 企 15 | 文 16 | 从 17 | 而 18 | 美 19 | 

改 : 心 0 | 代 1 | 将 2 | 问 3 | 设 4 | 万 5 | 平 6 | 金 7 | 表 8 | 企 9 | 委 10 | 从 11 | 党 12 | 美 13 | 外 14 | 次 15 | 小 16 | 队 17 | 北 18 | 华 19 | 

文 : 万 0 | 金 1 | 问 2 | 企 3 | 代 4 | 从 5 | 心 6 | 美 7 | 将 8 | 次 9 | 设 10 | 队 11 | 平 12 | 华 13 | 表 14 | 度 15 | 委 16 | 提 17 | 党 18 | 科 19 | 

７ : 从 0 | 美 1 | 企 2 | 次 3 | 金 4 | 队 5 | 万 6 | 华 7 | 问 8 | 度 9 | 代 10 | 提 11 | 心 12 | 科 13 | 将 14 | 农 15 | 设 16 | 可 17 | 平 18 | 当 19 | 

两 : 队 0 | 华 1 | 次 2 | 度 3 | 美 4 | 提 5 | 从 6 | 科 7 | 企 8 | 农 9 | 金 10 | 可 11 | 万 12 | 当 13 | 问 14 | 今 15 | 代 16 | 两 17 | 心 18 | 元 19 | 

将 : 提 0 | 科 1 | 度 2 | 农 3 | 华 4 | 可 5 | 队 6 | 当 7 | 次 8 | 今 9 | 美 10 | 两 11 | 从 12 | 元 13 | 企 14 | 保 15 | 金 16 | 里 17 | 万 18 | 十 19 | 

次 : 可 0 | 当 1 | 农 2 | 今 3 | 科 4 | 两 5 | 提 6 | 元 7 | 度 8 | 保 9 | 华 10 | 里 11 | 队 12 | 十 13 | 次 14 | 位 15 | 美 16 | 着 17 | 从 18 | 种 19 | 

目 : 两 0 | 元 1 | 今 2 | 保 3 | 当 4 | 里 5 | 可 6 | 十 7 | 农 8 | 位 9 | 科 10 | 着 11 | 提 12 | 种 13 | 度 14 | 其 15 | 华 16 | 内 17 | 队 18 | 起 19 | 

入 : 里 0 | 十 1 | 保 2 | 位 3 | 元 4 | 着 5 | 两 6 | 种 7 | 今 8 | 其 9 | 当 10 | 内 11 | 可 12 | 起 13 | 农 14 | 入 15 | 科 16 | （ 17 | 提 18 | ） 19 | 

村 : 着 0 | 种 1 | 位 2 | 其 3 | 十 4 | 内 5 | 里 6 | 起 7 | 保 8 | 入 9 | 元 10 | （ 11 | 两 12 | ） 13 | 今 14 | 子 15 | 当 16 | 明 17 | 可 18 | 还 19 | 

华 : 内 0 | 起 1 | 其 2 | 入 3 | 种 4 | （ 5 | 着 6 | ） 7 | 位 8 | 子 9 | 十 10 | 明 11 | 里 12 | 还 13 | 保 14 | 题 15 | 元 16 | 强 17 | 两 18 | 目 19 | 

第 : （ 0 | ） 1 | 入 2 | 子 3 | 起 4 | 明 5 | 内 6 | 还 7 | 其 8 | 题 9 | 种 10 | 强 11 | 着 12 | 目 13 | 位 14 | 基 15 | 十 16 | 所 17 | 里 18 | 名 19 | 

里 : 明 0 | 还 1 | 子 2 | 题 3 | ） 4 | 强 5 | （ 6 | 目 7 | 入 8 | 基 9 | 起 10 | 所 11 | 内 12 | 名 13 | 其 14 | 第 15 | 种 16 | 改 17 | 着 18 | 系 19 | 

已 : 强 0 | 目 1 | 题 2 | 基 3 | 还 4 | 所 5 | 明 6 | 名 7 | 子 8 | 第 9 | ） 10 | 改 11 | （ 12 | 系 13 | 入 14 | 已 15 | 起 16 | 通 17 | 内 18 | 立 19 | 

科 : 所 0 | 名 1 | 基 2 | 第 3 | 目 4 | 改 5 | 强 6 | 系 7 | 题 8 | 已 9 | 还 10 | 通 11 | 明 12 | 立 13 | 子 14 | 军 15 | ） 16 | 都 17 | （ 18 | 导 19 | 

着 : 改 0 | 系 1 | 第 2 | 已 3 | 名 4 | 通 5 | 所 6 | 立 7 | 基 8 | 军 9 | 目 10 | 都 11 | 强 12 | 导 13 | 题 14 | 安 15 | 还 16 | 三 17 | 明 18 | 领 19 | 

（ : 通 0 | 立 1 | 已 2 | 军 3 | 系 4 | 都 5 | 改 6 | 导 7 | 第 8 | 安 9 | 名 10 | 三 11 | 所 12 | 领 13 | 基 14 | 正 15 | 目 16 | 任 17 | 强 18 | 向 19 | 

通 : 都 0 | 导 1 | 军 2 | 安 3 | 立 4 | 三 5 | 通 6 | 领 7 | 已 8 | 正 9 | 系 10 | 任 11 | 改 12 | 向 13 | 第 14 | 特 15 | 名 16 | 最 17 | 所 18 | 道 19 | 

任 : 三 0 | 领 1 | 安 2 | 正 3 | 导 4 | 任 5 | 都 6 | 向 7 | 军 8 | 特 9 | 立 10 | 最 11 | 通 12 | 道 13 | 已 14 | 决 15 | 系 16 | 世 17 | 改 18 | 组 19 | 

特 : 任 0 | 向 1 | 正 2 | 特 3 | 领 4 | 最 5 | 三 6 | 道 7 | 安 8 | 决 9 | 导 10 | 世 11 | 都 12 | 组 13 | 军 14 | 江 15 | 立 16 | 教 17 | 通 18 | 使 19 | 

