。 : 。 0 | 、 1 | 的 2 | 

一 : 一 0 | 在 1 | 国 2 | 

了 : 人 0 | 了 1 | 中 2 | 

是 : 和 0 | 有 1 | 是 2 | 

大 : １ 0 | 不 1 | 大 2 | 

不 : ０ 0 | 会 1 | 年 2 | 

发 : 业 0 | 发 1 | 为 2 | 

“ : ” 0 | 上 1 | “ 2 | 

民 : 地 0 | 作 1 | 要 2 | 

要 : 出 0 | 工 1 | 这 2 | 

出 : 个 0 | 民 1 | 行 2 | 

以 : 家 0 | ９ 1 | 日 2 | 

家 : 经 0 | 部 1 | 到 2 | 

对 : 对 0 | 以 1 | 来 2 | 

成 : 生 0 | 成 1 | ２ 2 | 

部 : 全 0 | 们 1 | 我 2 | 

市 : 政 0 | 新 1 | 时 2 | 

时 : 学 0 | 他 1 | 市 2 | 

们 : 多 0 | 主 1 | 进 2 | 

开 : 理 0 | 实 1 | 长 2 | 

他 : 方 0 | 月 1 | 展 2 | 

方 : 本 0 | 重 1 | 同 2 | 

于 : 建 0 | 下 1 | 于 2 | 

学 : 者 0 | 关 1 | 开 2 | 

现 : ５ 0 | ３ 1 | 产 2 | 

高 : 法 0 | 高 1 | 力 2 | 

社 : 现 0 | 动 1 | 公 2 | 

者 : 就 0 | 分 1 | 加 2 | 

３ : 报 0 | 前 1 | 社 2 | 

前 : 员 0 | 自 1 | 后 2 | 

就 : 定 0 | 合 1 | 用 2 | 

农 : 区 0 | 能 1 | 说 2 | 

过 : 与 0 | 过 1 | ８ 2 | 

面 : 面 0 | 场 1 | 济 2 | 

得 : 化 0 | 事 1 | ４ 2 | 

等 : 机 0 | 等 1 | 制 2 | 

事 : 电 0 | 记 1 | 得 2 | 

务 : ： 0 | 也 1 | 天 2 | 

利 : 总 0 | 资 1 | ６ 2 | 

电 : 务 0 | 利 1 | ７ 2 | 

之 : 好 0 | 之 1 | 水 2 | 

委 : 而 0 | 文 1 | 体 2 | 

各 : 北 0 | 小 1 | 各 2 | 

今 : 党 0 | 委 1 | 外 2 | 

６ : 平 0 | 设 1 | 表 2 | 

改 : 心 0 | 代 1 | 将 2 | 

文 : 万 0 | 金 1 | 问 2 | 

７ : 从 0 | 美 1 | 企 2 | 

两 : 队 0 | 华 1 | 次 2 | 

将 : 提 0 | 科 1 | 度 2 | 

次 : 可 0 | 当 1 | 农 2 | 

目 : 两 0 | 元 1 | 今 2 | 

入 : 里 0 | 十 1 | 保 2 | 

村 : 着 0 | 种 1 | 位 2 | 

华 : 内 0 | 起 1 | 其 2 | 

第 : （ 0 | ） 1 | 入 2 | 

里 : 明 0 | 还 1 | 子 2 | 

已 : 强 0 | 目 1 | 题 2 | 

科 : 所 0 | 名 1 | 基 2 | 

着 : 改 0 | 系 1 | 第 2 | 

（ : 通 0 | 立 1 | 已 2 | 

通 : 都 0 | 导 1 | 军 2 | 

任 : 三 0 | 领 1 | 安 2 | 

特 : 任 0 | 向 1 | 正 2 | 

技 : 最 0 | 道 1 | 特 2 | 

增 : 世 0 | 组 1 | 决 2 | 

议 : 教 0 | 使 1 | 江 2 | 

由 : 议 0 | 海 1 | 品 2 | 

持 : 共 0 | 情 1 | 技 2 | 

义 : 活 0 | 解 1 | 意 2 | 

门 : 并 0 | 些 1 | 西 2 | 

程 : 南 0 | 增 1 | 京 2 | 

安 : 术 0 | 统 1 | 持 2 | 

此 : 点 0 | 此 1 | 门 2 | 

西 : 府 0 | 比 1 | 由 2 | 

活 : 省 0 | 期 1 | 去 2 | 

点 : 管 0 | 战 1 | 应 2 | 

军 : 间 0 | 及 1 | 干 2 | 

府 : 治 0 | 院 1 | 书 2 | 

二 : 结 0 | 交 1 | 界 2 | 

教 : 联 0 | 量 1 | ； 2 | 

项 : 程 0 | 如 1 | 达 2 | 

路 : 司 0 | 东 1 | 收 2 | 

亚 : 际 0 | 村 1 | 性 2 | 

取 : 义 0 | 《 1 | 然 2 | 

东 : 局 0 | 取 1 | 》 2 | 

然 : 把 0 | 因 1 | 据 2 | 

司 : 办 0 | 二 1 | 调 2 | 

战 : 计 0 | — 1 | 革 2 | 

调 : 相 0 | 论 1 | 但 2 | 

相 : 团 0 | 职 1 | 求 2 | 

但 : 斯 0 | 先 1 | 近 2 | 

步 : 规 0 | 路 1 | 信 2 | 

运 : 认 0 | 受 1 | 广 2 | 

认 : 处 0 | 无 1 | ． 2 | 

． : 山 0 | 物 1 | 项 2 | 

求 : 放 0 | 步 1 | 众 2 | 

近 : 育 0 | 手 1 | 指 2 | 

举 : 风 0 | 更 1 | 集 2 | 

志 : 想 0 | 商 1 | 看 2 | 

信 : ％ 0 | 研 1 | 亚 2 | 

投 : 投 0 | 常 1 | 口 2 | 

城 : 原 0 | 深 1 | 克 2 | 

形 : 支 0 | 形 1 | 级 2 | 

克 : 件 0 | 流 1 | 举 2 | 

商 : 没 0 | 少 1 | 志 2 | 

研 : 拉 0 | 施 1 | 至 2 | 

式 : 被 0 | 城 1 | 赛 2 | 

赛 : 又 0 | 难 1 | 条 2 | 

至 : 车 0 | 老 1 | 果 2 | 

车 : 参 0 | 造 1 | 式 2 | 

拉 : 精 0 | 只 1 | 接 2 | 

创 : 群 0 | 运 1 | 专 2 | 

被 : 服 0 | 县 1 | 质 2 | 

精 : 灾 0 | 费 1 | 做 2 | 

只 : 织 0 | 观 1 | 几 2 | 

专 : 央 0 | 别 1 | 样 2 | 

服 : 五 0 | 数 1 | 见 2 | 

史 : 协 0 | 四 1 | 示 2 | 

视 : 选 0 | 格 1 | 给 2 | 

支 : 洪 0 | 尔 1 | 创 2 | 

物 : 防 0 | 林 1 | 查 2 | 

参 : 那 0 | 思 1 | 很 2 | 

五 : 标 0 | 价 1 | 知 2 | 

群 : 再 0 | 纪 1 | 话 2 | 

责 : 变 0 | 历 1 | 头 2 | 

税 : 回 0 | 严 1 | 首 2 | 

势 : 确 0 | 马 1 | 张 2 | 

策 : 台 0 | 效 1 | 权 2 | 

回 : 推 0 | 识 1 | 争 2 | 

极 : 百 0 | 势 1 | 积 2 | 

境 : 极 0 | 传 1 | 究 2 | 

坚 : 神 0 | 反 1 | 气 2 | 

气 : 视 0 | 走 1 | 史 2 | 

价 : 证 0 | 每 1 | 真 2 | 

土 : 整 0 | 责 1 | 身 2 | 

副 : 单 0 | 副 1 | 续 2 | 

究 : 营 0 | 益 1 | 亿 2 | 

头 : 转 0 | 险 1 | 才 2 | 

该 : 坚 0 | 席 1 | 李 2 | 

况 : 感 0 | 款 1 | 该 2 | 

优 : 德 0 | 乡 1 | 己 2 | 

具 : 必 0 | 构 1 | 周 2 | 

身 : 优 0 | 布 1 | 完 2 | 

感 : 策 0 | 影 1 | 打 2 | 

德 : 需 0 | 球 1 | 女 2 | 

河 : 巴 0 | 族 1 | 非 2 | 

带 : 环 0 | 带 1 | 准 2 | 

转 : 谈 0 | 况 1 | 命 2 | 

批 : 采 0 | 案 1 | 融 2 | 

采 : 岗 0 | 王 1 | 约 2 | 

约 : 清 0 | 直 1 | 率 2 | 

划 : 具 0 | 青 1 | 护 2 | 

则 : 根 0 | 望 1 | 线 2 | 

李 : 批 0 | 备 1 | 快 2 | 

切 : 困 0 | 武 1 | 色 2 | 

谈 : 访 0 | 士 1 | 切 2 | 

线 : 告 0 | 供 1 | 校 2 | 

告 : 河 0 | 港 1 | 许 2 | 

防 : 消 0 | 境 1 | 米 2 | 

易 : 住 0 | 抗 1 | 罗 2 | 

青 : 列 0 | 律 1 | 或 2 | 

始 : 段 0 | 它 1 | 她 2 | 

响 : 节 0 | 助 1 | 仅 2 | 

镇 : 连 0 | 负 1 | 银 2 | 

光 : 么 0 | 户 1 | 划 2 | 

值 : 兴 0 | 则 1 | 引 2 | 

望 : 光 0 | 失 1 | 象 2 | 

消 : 习 0 | 艺 1 | 值 2 | 

兴 : 土 0 | 洲 1 | 始 2 | 

洪 : 届 0 | 响 1 | · 2 | 

落 : 何 0 | 友 1 | 房 2 | 

功 : 厂 0 | 医 1 | 九 2 | 

险 : 州 0 | 包 1 | ？ 2 | 

