。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 

一 : 一 0 | 在 1 | 国 2 | 中 3 | 、 4 | 

了 : 人 0 | 了 1 | 中 2 | 是 3 | 在 4 | 

是 : 和 0 | 有 1 | 是 2 | 大 3 | 了 4 | 

大 : １ 0 | 不 1 | 大 2 | 年 3 | 有 4 | 

不 : ０ 0 | 会 1 | 年 2 | 为 3 | 不 4 | 

发 : 业 0 | 发 1 | 为 2 | “ 3 | 会 4 | 

“ : ” 0 | 上 1 | “ 2 | 要 3 | 发 4 | 

民 : 地 0 | 作 1 | 要 2 | 这 3 | 上 4 | 

要 : 出 0 | 工 1 | 这 2 | 行 3 | 作 4 | 

出 : 个 0 | 民 1 | 行 2 | 日 3 | 工 4 | 

以 : 家 0 | ９ 1 | 日 2 | 到 3 | 民 4 | 

家 : 经 0 | 部 1 | 到 2 | 来 3 | ９ 4 | 

对 : 对 0 | 以 1 | 来 2 | ２ 3 | 部 4 | 

成 : 生 0 | 成 1 | ２ 2 | 我 3 | 以 4 | 

部 : 全 0 | 们 1 | 我 2 | 时 3 | 成 4 | 

市 : 政 0 | 新 1 | 时 2 | 市 3 | 们 4 | 

时 : 学 0 | 他 1 | 市 2 | 进 3 | 新 4 | 

们 : 多 0 | 主 1 | 进 2 | 长 3 | 他 4 | 

开 : 理 0 | 实 1 | 长 2 | 展 3 | 主 4 | 

他 : 方 0 | 月 1 | 展 2 | 同 3 | 实 4 | 

方 : 本 0 | 重 1 | 同 2 | 于 3 | 月 4 | 

于 : 建 0 | 下 1 | 于 2 | 开 3 | 重 4 | 

学 : 者 0 | 关 1 | 开 2 | 产 3 | 下 4 | 

现 : ５ 0 | ３ 1 | 产 2 | 力 3 | 关 4 | 

高 : 法 0 | 高 1 | 力 2 | 公 3 | ３ 4 | 

社 : 现 0 | 动 1 | 公 2 | 加 3 | 高 4 | 

者 : 就 0 | 分 1 | 加 2 | 社 3 | 动 4 | 

３ : 报 0 | 前 1 | 社 2 | 后 3 | 分 4 | 

前 : 员 0 | 自 1 | 后 2 | 用 3 | 前 4 | 

就 : 定 0 | 合 1 | 用 2 | 说 3 | 自 4 | 

农 : 区 0 | 能 1 | 说 2 | ８ 3 | 合 4 | 

过 : 与 0 | 过 1 | ８ 2 | 济 3 | 能 4 | 

面 : 面 0 | 场 1 | 济 2 | ４ 3 | 过 4 | 

得 : 化 0 | 事 1 | ４ 2 | 制 3 | 场 4 | 

等 : 机 0 | 等 1 | 制 2 | 得 3 | 事 4 | 

事 : 电 0 | 记 1 | 得 2 | 天 3 | 等 4 | 

务 : ： 0 | 也 1 | 天 2 | ６ 3 | 记 4 | 

利 : 总 0 | 资 1 | ６ 2 | ７ 3 | 也 4 | 

电 : 务 0 | 利 1 | ７ 2 | 水 3 | 资 4 | 

之 : 好 0 | 之 1 | 水 2 | 体 3 | 利 4 | 

委 : 而 0 | 文 1 | 体 2 | 各 3 | 之 4 | 

各 : 北 0 | 小 1 | 各 2 | 外 3 | 文 4 | 

今 : 党 0 | 委 1 | 外 2 | 表 3 | 小 4 | 

６ : 平 0 | 设 1 | 表 2 | 将 3 | 委 4 | 

改 : 心 0 | 代 1 | 将 2 | 问 3 | 设 4 | 

文 : 万 0 | 金 1 | 问 2 | 企 3 | 代 4 | 

７ : 从 0 | 美 1 | 企 2 | 次 3 | 金 4 | 

两 : 队 0 | 华 1 | 次 2 | 度 3 | 美 4 | 

将 : 提 0 | 科 1 | 度 2 | 农 3 | 华 4 | 

次 : 可 0 | 当 1 | 农 2 | 今 3 | 科 4 | 

目 : 两 0 | 元 1 | 今 2 | 保 3 | 当 4 | 

入 : 里 0 | 十 1 | 保 2 | 位 3 | 元 4 | 

村 : 着 0 | 种 1 | 位 2 | 其 3 | 十 4 | 

华 : 内 0 | 起 1 | 其 2 | 入 3 | 种 4 | 

第 : （ 0 | ） 1 | 入 2 | 子 3 | 起 4 | 

里 : 明 0 | 还 1 | 子 2 | 题 3 | ） 4 | 

已 : 强 0 | 目 1 | 题 2 | 基 3 | 还 4 | 

科 : 所 0 | 名 1 | 基 2 | 第 3 | 目 4 | 

着 : 改 0 | 系 1 | 第 2 | 已 3 | 名 4 | 

（ : 通 0 | 立 1 | 已 2 | 军 3 | 系 4 | 

通 : 都 0 | 导 1 | 军 2 | 安 3 | 立 4 | 

任 : 三 0 | 领 1 | 安 2 | 正 3 | 导 4 | 

特 : 任 0 | 向 1 | 正 2 | 特 3 | 领 4 | 

技 : 最 0 | 道 1 | 特 2 | 决 3 | 向 4 | 

增 : 世 0 | 组 1 | 决 2 | 江 3 | 道 4 | 

议 : 教 0 | 使 1 | 江 2 | 品 3 | 组 4 | 

由 : 议 0 | 海 1 | 品 2 | 技 3 | 使 4 | 

